epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,22503,0.31091,0.51999,0.54656,0.89309,0,0.98265,0.9837,0.98459,0.97645,0.98061,0.98164,0.98165,0.97664,0.11401,0.22183,0.13579,0.76133,0,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,22970.8,0.30973,0.51471,0.53693,0.89407,0,0.97949,0.98459,0.98544,0.97916,0.97747,0.98253,0.98251,0.9782,0.10972,0.22079,0.13208,0.75962,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,23439.7,0.30773,0.50699,0.53748,0.88978,0,0.98376,0.98251,0.98418,0.9783,0.98179,0.98083,0.98204,0.97779,0.11181,0.21934,0.13099,0.75844,0,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,23908.1,0.30889,0.51525,0.53957,0.89215,0,0.98081,0.98409,0.9853,0.97945,0.97879,0.98203,0.98281,0.97834,0.11254,0.21455,0.13364,0.76168,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,24375.6,0.30651,0.49901,0.52352,0.88834,0,0.97921,0.97812,0.98192,0.97629,0.97718,0.97606,0.9792,0.97532,0.1097,0.22386,0.14355,0.75736,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,24843.6,0.3071,0.51332,0.52969,0.89077,0,0.97882,0.98286,0.98517,0.97858,0.97589,0.98303,0.98239,0.9781,0.10741,0.21796,0.13304,0.75762,0,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,25312.1,0.30727,0.50866,0.51807,0.89027,0,0.97853,0.9833,0.98443,0.97781,0.97725,0.98269,0.98161,0.97803,0.10771,0.22852,0.13413,0.75469,0,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,25778.9,0.30426,0.50362,0.51492,0.89106,0,0.98476,0.98485,0.98327,0.97581,0.98272,0.98279,0.98078,0.9772,0.10735,0.2284,0.1264,0.75645,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,26245.5,0.30519,0.49316,0.52023,0.88674,0,0.97987,0.98334,0.98548,0.97868,0.97786,0.98128,0.98295,0.97919,0.10349,0.21976,0.12979,0.75328,0,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,26714,0.29912,0.48839,0.50077,0.88438,0,0.98487,0.98241,0.98333,0.97678,0.98284,0.98035,0.98061,0.97675,0.1055,0.22262,0.12552,0.75341,0,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,27182.2,0.29884,0.49096,0.50478,0.88741,0,0.98233,0.98509,0.98411,0.97609,0.98032,0.98303,0.98072,0.97698,0.10739,0.22251,0.12622,0.75576,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,27650.7,0.29782,0.49809,0.50855,0.89067,0,0.98079,0.98289,0.98504,0.97641,0.97866,0.98092,0.98232,0.97762,0.10878,0.21764,0.13026,0.75893,0,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,28126.8,0.2984,0.48441,0.50259,0.88587,0,0.98206,0.98308,0.98482,0.97599,0.98003,0.98102,0.98143,0.97778,0.10727,0.22689,0.12601,0.75816,0,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,28565.8,0.30118,0.49115,0.49928,0.8854,0,0.97948,0.9845,0.985,0.97731,0.97745,0.98245,0.98218,0.9783,0.10724,0.22347,0.12682,0.75748,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,29000.3,0.29946,0.49817,0.49421,0.88599,0,0.98162,0.98326,0.98568,0.97766,0.97959,0.9812,0.98296,0.97854,0.10568,0.22085,0.12631,0.75446,0,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,29535.4,0.29444,0.49003,0.49643,0.88348,0,0.98362,0.9833,0.98467,0.97733,0.98159,0.98124,0.98127,0.97712,0.103,0.21799,0.12392,0.75709,0,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,29901.7,0.29963,0.48872,0.49043,0.88845,0,0.98247,0.98205,0.98564,0.97814,0.98034,0.98005,0.98178,0.97694,0.10326,0.21569,0.12552,0.75763,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
