epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,5443.05,0.20973,0.33447,0.37781,0.87731,0,0.96178,0.95331,0.97507,0.95719,0.9556,0.94712,0.9648,0.95808,0.13876,0.23679,0.21558,0.78786,0,6.56865e-05,6.56865e-05,6.56865e-05
60,5529.63,0.21417,0.34329,0.37509,0.87878,0,0.96665,0.95801,0.97255,0.95287,0.96057,0.95172,0.96214,0.95371,0.14093,0.22402,0.22039,0.78711,0,6.31067e-05,6.31067e-05,6.31067e-05
61,5615.48,0.21332,0.34597,0.37945,0.88217,0,0.95644,0.95299,0.97348,0.95634,0.95031,0.94685,0.96307,0.95599,0.13213,0.22621,0.20911,0.78061,0,6.05503e-05,6.05503e-05,6.05503e-05
62,5699.81,0.20877,0.33883,0.36446,0.8746,0,0.95667,0.95211,0.97523,0.95722,0.95056,0.94592,0.96482,0.95654,0.13299,0.21923,0.20825,0.78048,0,5.80199e-05,5.80199e-05,5.80199e-05
63,5787.49,0.21188,0.34574,0.37185,0.8806,0,0.96194,0.95458,0.97485,0.95657,0.95581,0.94843,0.96444,0.9562,0.13165,0.21057,0.19206,0.77946,0,5.55179e-05,5.55179e-05,5.55179e-05
64,5872.15,0.20492,0.326,0.3642,0.87686,0,0.96081,0.96046,0.97776,0.9543,0.95463,0.95425,0.96735,0.95578,0.13184,0.22087,0.19997,0.77939,0,5.30468e-05,5.30468e-05,5.30468e-05
65,5958.16,0.20608,0.32914,0.36287,0.87777,0,0.94951,0.95162,0.96817,0.95028,0.94342,0.94549,0.95776,0.94947,0.13366,0.22252,0.20959,0.78211,0,5.06092e-05,5.06092e-05,5.06092e-05
66,6046.15,0.20591,0.32453,0.35152,0.8762,0,0.9562,0.952,0.972,0.95551,0.95,0.94587,0.9637,0.95721,0.12575,0.22583,0.20796,0.77958,0,4.82072e-05,4.82072e-05,4.82072e-05
67,6130.88,0.20837,0.3359,0.3501,0.87812,0,0.95297,0.95147,0.97189,0.95376,0.9494,0.9481,0.96413,0.95633,0.13238,0.22838,0.20863,0.78288,0,4.58435e-05,4.58435e-05,4.58435e-05
68,6215.52,0.20932,0.34791,0.35075,0.87624,0,0.95996,0.95582,0.97021,0.95527,0.95671,0.95211,0.96429,0.95589,0.12727,0.22174,0.19594,0.77724,0,4.35202e-05,4.35202e-05,4.35202e-05
69,6299.79,0.20092,0.34007,0.33923,0.87291,0,0.96388,0.96193,0.97707,0.96079,0.95755,0.95593,0.96666,0.9584,0.12365,0.21739,0.17958,0.77543,0,4.12397e-05,4.12397e-05,4.12397e-05
70,6386.26,0.20331,0.31975,0.32415,0.87442,0,0.9618,0.95162,0.9749,0.95952,0.95573,0.94534,0.9666,0.95802,0.12741,0.21489,0.19444,0.77852,0,3.90042e-05,3.90042e-05,3.90042e-05
71,6474.47,0.19943,0.32483,0.33045,0.87464,0,0.9656,0.95361,0.97361,0.95752,0.95936,0.94745,0.9632,0.95525,0.12412,0.21664,0.19438,0.77866,0,3.6816e-05,3.6816e-05,3.6816e-05
72,6562.69,0.20061,0.31839,0.33634,0.87267,0,0.96125,0.95664,0.97439,0.95746,0.95501,0.95047,0.96398,0.95642,0.12257,0.21598,0.19139,0.7759,0,3.46771e-05,3.46771e-05,3.46771e-05
73,6648.98,0.1973,0.30658,0.33254,0.86985,0,0.95842,0.95794,0.9752,0.95846,0.95206,0.95194,0.96479,0.95703,0.1185,0.2193,0.18503,0.77326,0,3.25897e-05,3.25897e-05,3.25897e-05
74,6737.29,0.20423,0.33909,0.33327,0.87836,0,0.95379,0.95789,0.97467,0.95864,0.94778,0.9516,0.96426,0.95687,0.1249,0.21896,0.19266,0.77495,0,3.05559e-05,3.05559e-05,3.05559e-05
75,6821.64,0.19432,0.31129,0.3253,0.86764,0,0.96018,0.95677,0.97598,0.95853,0.9539,0.95065,0.96558,0.9575,0.12475,0.22156,0.18497,0.7758,0,2.85777e-05,2.85777e-05,2.85777e-05
76,6907.86,0.19928,0.31427,0.33421,0.87564,0,0.95928,0.95236,0.97497,0.9562,0.95305,0.94619,0.96667,0.95963,0.13049,0.22627,0.1939,0.78146,0,2.66569e-05,2.66569e-05,2.66569e-05
