epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,5044.64,0.28333,0.45974,0.51351,0.88195,0,0.97686,0.97574,0.98465,0.9763,0.97489,0.97368,0.98239,0.97867,0.13432,0.21576,0.1672,0.77157,0,0.000127485,0.000127485,0.000127485
43,5164.46,0.28222,0.46547,0.49425,0.88302,0,0.9722,0.9765,0.98474,0.97393,0.97028,0.97445,0.98248,0.97762,0.13876,0.22922,0.16924,0.78112,0,0.000125513,0.000125513,0.000125513
44,5283.96,0.29283,0.46222,0.51213,0.88435,0,0.97344,0.98149,0.98438,0.97431,0.97156,0.97943,0.98121,0.97554,0.1352,0.22897,0.16893,0.77553,0,0.000123514,0.000123514,0.000123514
45,5404,0.28854,0.46088,0.50781,0.88371,0,0.97395,0.97689,0.98582,0.97666,0.97195,0.97483,0.98378,0.97749,0.13892,0.23499,0.16223,0.78015,0,0.00012149,0.00012149,0.00012149
46,5522.35,0.28353,0.45737,0.50277,0.88194,0,0.97619,0.98171,0.98528,0.97573,0.97435,0.97966,0.98302,0.97738,0.133,0.22388,0.15814,0.77009,0,0.000119442,0.000119442,0.000119442
47,5641.68,0.27897,0.43951,0.4987,0.87638,0,0.97975,0.98448,0.98543,0.9759,0.9778,0.98242,0.98339,0.97625,0.12718,0.21788,0.14235,0.77045,0,0.000117371,0.000117371,0.000117371
48,5761.47,0.27121,0.42638,0.47185,0.87483,0,0.97515,0.98192,0.98545,0.97622,0.97317,0.97986,0.98228,0.97584,0.12493,0.22405,0.15619,0.77218,0,0.00011528,0.00011528,0.00011528
49,5880.94,0.28242,0.44944,0.48469,0.88194,0,0.97682,0.98479,0.98523,0.97363,0.97499,0.98273,0.98138,0.97551,0.12641,0.22087,0.15795,0.77267,0,0.00011317,0.00011317,0.00011317
50,6000.8,0.28284,0.46254,0.49706,0.88804,0,0.9776,0.97965,0.98462,0.97456,0.97576,0.97759,0.98258,0.97591,0.12744,0.2262,0.16134,0.77156,0,0.000111041,0.000111041,0.000111041
51,6118.99,0.28336,0.44753,0.4777,0.87782,0,0.97984,0.98373,0.98506,0.97653,0.97786,0.98167,0.98279,0.97788,0.12795,0.23053,0.15402,0.76983,0,0.000108896,0.000108896,0.000108896
52,6239.12,0.2738,0.42752,0.47402,0.87215,0,0.98002,0.98244,0.98572,0.97642,0.97802,0.98038,0.98345,0.9791,0.12605,0.21286,0.15037,0.77194,0,0.000106736,0.000106736,0.000106736
53,6359.17,0.28005,0.43707,0.48742,0.88108,0,0.97089,0.97906,0.98467,0.97399,0.9689,0.977,0.98081,0.97522,0.1302,0.22318,0.1625,0.77224,0,0.000104562,0.000104562,0.000104562
54,6478.65,0.27592,0.4308,0.45559,0.87644,0,0.9764,0.98193,0.98586,0.97586,0.97457,0.97987,0.98269,0.97728,0.13273,0.22719,0.1466,0.77243,0,0.000102376,0.000102376,0.000102376
