epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,9896.31,0.26959,0.42273,0.41039,0.87132,0,0.97722,0.98408,0.98501,0.97694,0.97521,0.98202,0.98184,0.97802,0.10854,0.22627,0.12944,0.75937,0,9.68671e-05,9.68671e-05,9.68671e-05
39,10158,0.26742,0.42514,0.41226,0.8734,0,0.97724,0.9852,0.9857,0.9774,0.97514,0.98321,0.98184,0.97797,0.10848,0.22662,0.12318,0.75903,0,9.354e-05,9.354e-05,9.354e-05
40,10419.5,0.26751,0.42515,0.40885,0.87401,0,0.97651,0.9812,0.98541,0.97773,0.97451,0.97914,0.98155,0.9779,0.10743,0.23125,0.1305,0.76024,0,9.02026e-05,9.02026e-05,9.02026e-05
41,10681,0.26602,0.42212,0.40701,0.87475,0,0.97569,0.98249,0.9848,0.97734,0.9737,0.98043,0.98095,0.97738,0.10626,0.23866,0.13216,0.76034,0,8.686e-05,8.686e-05,8.686e-05
42,10943.1,0.26712,0.43002,0.41118,0.8752,0,0.98017,0.98373,0.98567,0.97815,0.97815,0.98167,0.98273,0.97872,0.10721,0.23782,0.12129,0.76238,0,8.35174e-05,8.35174e-05,8.35174e-05
43,11204.2,0.26328,0.42632,0.40074,0.86908,0,0.979,0.98357,0.9858,0.97818,0.97698,0.98152,0.98263,0.97885,0.10543,0.23436,0.12499,0.75977,0,8.018e-05,8.018e-05,8.018e-05
44,11466.2,0.26363,0.41402,0.39879,0.87222,0,0.97798,0.9852,0.98577,0.98001,0.97598,0.98314,0.98305,0.97982,0.10333,0.22798,0.11798,0.7591,0,7.68529e-05,7.68529e-05,7.68529e-05
45,11728.5,0.26013,0.42627,0.39054,0.87092,0,0.97941,0.97989,0.98565,0.97886,0.97739,0.97783,0.98294,0.97897,0.10372,0.22377,0.12169,0.75827,0,7.35412e-05,7.35412e-05,7.35412e-05
46,11990.9,0.26311,0.42636,0.39207,0.87146,0,0.97407,0.98118,0.98534,0.97785,0.97206,0.97912,0.98148,0.97734,0.10295,0.23038,0.12289,0.75966,0,7.025e-05,7.025e-05,7.025e-05
47,12256.2,0.25573,0.40669,0.38752,0.86731,0,0.97757,0.98421,0.98613,0.97919,0.97555,0.98215,0.98296,0.97939,0.10377,0.22729,0.11594,0.75818,0,6.69845e-05,6.69845e-05,6.69845e-05
48,12515.6,0.25766,0.41369,0.3875,0.86859,0,0.98026,0.98127,0.98577,0.97825,0.97815,0.97926,0.98237,0.97922,0.10585,0.22446,0.11755,0.7603,0,6.37496e-05,6.37496e-05,6.37496e-05
49,12777.9,0.2583,0.40957,0.37656,0.87165,0,0.97883,0.97928,0.98565,0.97729,0.97681,0.97722,0.98225,0.97882,0.10541,0.22882,0.12397,0.76244,0,6.05503e-05,6.05503e-05,6.05503e-05
50,13039.7,0.25571,0.40523,0.3734,0.86841,0,0.97837,0.98361,0.98619,0.97942,0.97635,0.98156,0.98325,0.98024,0.10387,0.23069,0.11939,0.75877,0,5.73916e-05,5.73916e-05,5.73916e-05
51,13304.6,0.25671,0.41308,0.37413,0.86815,0,0.97974,0.98387,0.98623,0.98031,0.97772,0.98181,0.98328,0.98039,0.10338,0.22367,0.11954,0.75736,0,5.42783e-05,5.42783e-05,5.42783e-05
52,13568.1,0.2543,0.40018,0.36612,0.86567,0,0.97952,0.98241,0.98492,0.97863,0.97751,0.98035,0.98175,0.97849,0.10097,0.23018,0.11696,0.75643,0,5.12153e-05,5.12153e-05,5.12153e-05
53,13830.6,0.25661,0.41534,0.37259,0.86775,0,0.97941,0.98126,0.98654,0.98015,0.97738,0.9792,0.98383,0.98015,0.10172,0.2256,0.11565,0.7579,0,4.82072e-05,4.82072e-05,4.82072e-05
54,14093.1,0.25419,0.40448,0.3624,0.86725,0,0.97883,0.97999,0.98566,0.97917,0.97681,0.97793,0.98249,0.97858,0.10129,0.23038,0.11677,0.75669,0,4.52588e-05,4.52588e-05,4.52588e-05
55,14355.7,0.25153,0.40269,0.35608,0.86949,0,0.98109,0.98109,0.98694,0.97971,0.97906,0.97903,0.98378,0.98003,0.10121,0.22606,0.11638,0.75681,0,4.23745e-05,4.23745e-05,4.23745e-05
56,14617.9,0.25307,0.39468,0.36047,0.86646,0,0.98017,0.98052,0.98714,0.97956,0.97814,0.97846,0.9842,0.97955,0.10062,0.22071,0.11371,0.76012,0,3.95588e-05,3.95588e-05,3.95588e-05
57,14880.3,0.24754,0.39358,0.34941,0.86523,0,0.97877,0.9822,0.98596,0.97833,0.97675,0.98015,0.98211,0.97818,0.09861,0.22375,0.11609,0.75786,0,3.6816e-05,3.6816e-05,3.6816e-05
58,15143.6,0.25037,0.39693,0.34688,0.86823,0,0.98043,0.98108,0.986,0.98016,0.97822,0.97848,0.98279,0.97992,0.09771,0.22378,0.1099,0.75835,0,3.41503e-05,3.41503e-05,3.41503e-05
